Year,Industry_Type,E_Score,S_Score,G_Score,ROA,ROE,Net Profit Margin,Board_Independence
2014,Technology,93.7,82.2,84.3,6.4,10.4,16.8,89.4
2015,Technology,62.9,86.2,67.3,11.9,14.6,11.6,57.2
2016,Technology,89.2,88.4,67.4,7.5,13.8,17.6,93.2
2017,Technology,75.8,73.4,81.0,16.8,19.4,15.8,72.3
2018,Technology,49.7,94.5,73.3,2.5,15.7,6.7,95.0
2019,Technology,44.3,83.4,77.4,14.2,24.5,20.7,81.7
2020,Technology,69.3,52.3,61.8,3.4,17.9,17.0,93.5
2021,Technology,51.0,74.6,61.7,9.5,23.2,18.0,50.1
2022,Technology,68.2,92.9,91.3,9.3,14.8,19.3,69.9
2023,Technology,47.0,88.5,79.1,4.6,9.5,21.2,89.2
